origin,destination,sexo,flow
46074,46214_AM,mujer,24.548500000000004
46007_AM,4613101,mujer,4.202
46251_AM,46081,mujer,559.9564999999999
46037_AM,46143_AM,mujer,50.928749999999994
46179,46257,mujer,21.15275
4624404,0306507,mujer,3.47025
46903,46008,mujer,2.52125
1207702,1212602,mujer,438.93399999999997
4625001,0300903,mujer,6.25
03120,46118_AM,mujer,0.25
0301903,0310404,mujer,55.90775
1204006,12117,mujer,59.823
4617101,46182_AM,mujer,12.64475
03094,0313902,mujer,26.74425
0301406,0309902,mujer,7.5975
4614702,4618401,mujer,0.5
46022_AM,4625017,mujer,20.42325
03088,0303104,mujer,9.932500000000001
4608302,4601702,mujer,378.40225
0310202,0304701,mujer,3.25
0301803,03055,mujer,3.25
46074,12021,mujer,0.75
46058_AM,46177_AM,mujer,12.25
0304701,0310203,mujer,1.75
46116,4615902,mujer,33.326
0309907,0309901,mujer,401.1435
1212602,46202,mujer,10.409749999999999
46006,46145,mujer,123.451
46214_AM,46228,mujer,24.1815
1208402,1212602,mujer,100.11625
0304901,0301501,mujer,242.63649999999996
12106_AM,46166,mujer,2.0
1208401,12053,mujer,8.36525
03120,03034_AM,mujer,34.679
46139,4608302,hombre,49.259
4603102,4623504,hombre,1.25
0311902,0313303,hombre,9.34825
1207701,1200903,hombre,26.99575
46207,4617101,hombre,45.5025
4600501,4625002,hombre,80.92975
46120_AM,46136,hombre,0.25
0301802,03107,hombre,91.9205
0305003,0303101,hombre,21.710250000000002
46120_AM,46207,hombre,58.50225
4623501,4613103,hombre,9.999749999999999
0300901,0300906,hombre,557.397
46135,46126,hombre,122.309
46176,46216,hombre,0.5
0304901,0313301,hombre,62.93825
46035,46093,hombre,32.716499999999996
46260,4607802,hombre,99.91874999999999
1203205,1213501,hombre,84.96475
4601901,46007_AM,hombre,9.75
1208402,12902_AM,hombre,190.14525000000003
03069,0306302,hombre,8.8175
03064,0309901,hombre,14.02325
4607001,4624404,hombre,25.224249999999998
12072_AM,4615902,hombre,0.5
46128_AM,4625016,hombre,0.25
0300901,0301401,hombre,8.434000000000001
03092_AM,0301402,hombre,5.26375
0306502,0307903,hombre,17.2845
0304101,0308201,hombre,31.9385
4623502,46094,hombre,53.79500000000001
1203204,12021,hombre,57.43275
12033_AM,46089_AM,hombre,2.0
03069,0311901,hombre,17.675250000000002
4620402,46009,hombre,30.79825
4607801,4623501,hombre,6.542
03055,0300908,hombre,1.0
1200901,1204002,hombre,76.70275000000001
0301403,0305905,hombre,33.9635
03088,03055,hombre,11.43825
12004,03094,hombre,0.25
4618402,0300903,hombre,10.5
1213503,1203204,hombre,81.95749999999998
46136,46106_AM,hombre,3.348
4608302,46160_AM,hombre,88.729
0307902,03093,hombre,6.8175
46111,46191,hombre,37.49875
46034,46034,hombre,22.25
46160_AM,4601705,hombre,86.8365
46060,46257,hombre,16.25
46195_AM,0310201,hombre,13.9485
46013,46077,hombre,12.500499999999999
0309002,0307903,hombre,26.299000000000003
0300907,0300905,hombre,809.076
46054,46172,mujer,36.798500000000004
