origin,destination,sexo,flow
46014,46207,hombre,111.41999999999999
0300901,0306505,hombre,8.594999999999999
4601703,4601901,hombre,71.074
1208402,1200901,hombre,143.0
46034,4613102,hombre,251.278
46020,46179,hombre,43.318
46004_AM,03002_AM,hombre,1.0
4623801,4623802,hombre,466.928
4613107,03026_AM,hombre,8.0
03005_AM,0305902,hombre,368.334
0301801,0312203,hombre,20.0
0303101,0313902,hombre,24.058
0309903,0313302,hombre,34.032000000000004
12128_AM,12028,mujer,370.579
4618403,4618402,mujer,9019.200000000003
4613103,4613103,hombre,1212.5359999999998
46199,4625016,hombre,46.877
1213504,1203203,hombre,370.33599999999996
46094,46194,mujer,540.564
0306604,0301404,hombre,140.82899999999998
0310404,0301406,mujer,101.55900000000003
46035,4625001,hombre,5.187
4615901,4615903,mujer,2471.58
4624404,4625004,mujer,21.32
4613107,46168_AM,hombre,49.195
0301402,0301405,mujer,3104.9529999999995
4625007,46186,hombre,84.46799999999999
03005_AM,0313303,hombre,62.361000000000004
0312202,0301401,hombre,300.709
03095,0307102,hombre,488.915
46116,46199,hombre,8.404
1213504,1208402,mujer,753.352
0305901,0313301,mujer,24.841
1200903,1204004,mujer,1632.266
46193,46165,hombre,97.21699999999998
1204001,1212602,mujer,33.0
46032,4625001,mujer,113.41600000000001
0303104,03128,mujer,13.879999999999999
46160_AM,4601705,mujer,65.825
46177_AM,46260,mujer,145.0
0312201,0311901,mujer,107.696
1208402,12128_AM,mujer,91.0
03058,0301401,mujer,6.0
0301502,4601702,mujer,2.0
0304901,0301404,mujer,11.0
46164,46014,mujer,366.782
1204007,46094,hombre,1.0
03005_AM,03109,hombre,185.76799999999997
4601705,4615902,hombre,1.0
03026_AM,46008,hombre,1.0
4625010,46166,hombre,78.008
4601902,4601703,hombre,185.0
4625012,46186,hombre,29.038
46020,46150_AM,hombre,9.0
03074_AM,0303103,hombre,1.0
46048,0306303,hombre,17.0
12011_AM,1204006,hombre,58.209999999999994
4601902,03095,hombre,2.0
4625015,4623502,hombre,5.0
03023_AM,0310404,hombre,35.052
46118_AM,4601902,hombre,49.304
46214_AM,4623501,mujer,15.172999999999998
1204005,1203204,hombre,86.651
03058,0306507,hombre,196.986
46032,46164,hombre,128.588
0301502,0309908,mujer,281.756
0305001,03046,mujer,346.735
0306507,0313303,hombre,319.89799999999997
03093,0306505,mujer,103.16900000000001
4625019,4625019,mujer,5529.232
0306504,0306506,hombre,3476.0769999999993
4613102,4613102,mujer,8445.404
4625015,4625011,hombre,1423.769
46060,46007_AM,hombre,43.461
4613106,4613106,mujer,671.499
0312203,0309001,hombre,553.2289999999999
0301405,0306507,mujer,531.756
03902,03118,hombre,14.375
4601902,46063_AM,mujer,645.072
03112_AM,0303103,mujer,67.346
46194,4625019,mujer,415.606
46214_AM,46903,mujer,570.4580000000001
03005_AM,0306503,hombre,194.28199999999998
46177_AM,46013,hombre,207.287
46191,4614702,hombre,289.233
0304902,0301408,mujer,21.094
4625015,4607802,hombre,450.62
0301404,0309001,hombre,1625.3890000000004
0309904,03109,mujer,178.73
0307902,0300907,mujer,42.0
4625012,46166,mujer,73.501
1213504,1207702,mujer,92.71600000000001
46126,46207,mujer,128.271
0312203,0307902,mujer,72.17099999999999
46173_AM,46157,mujer,19.045
